nom,lat,lon,adr1,adr2,adr3,adr4,tel,mail,web,intro,langues_nbr,langues,visite,activites_nbr,activites,services_nbr,services,url
"Natur'Ailes - ULM",47.154011,1.012028,"NATUR'AILES - ULM","Les Jolletières","37600 LOCHES",,"06 61 76 05 01",naturailes.ulm@wanadoo.fr,http://www.natur-ailes.fr,"<p>Baptême en ULM et école de pilotage.</p>",2,"Français
Anglais",,3,"Activités pour les enfants(10 ans)
Activités pour les familles
ULM",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/natur-ailes-ulm-loches
"Les flaveurs de la terre",47.127834,0.996952,"LES FLAVEURS DE LA TERRE","7 rue Balzac","37600 LOCHES",,"02 47 59 08 91",lesflaveursdelaterre@wanadoo.fr,,"<p>Fédération nationale des cavistes indépendants - Caviste -
Conseil - Commerce de détail en vins et spiritueux.</p>",1,Anglais,,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/les-flaveurs-de-la-terre-loches
"Ballon Plaisir",47.511961,0.94165,"BALLON PLAISIR","La Gerberie","37380 NEUILLE-LE-LIERRE",,"02 47 52 28 35",contact@ballon-plaisir-montgolfiere.com,http://www.ballon-plaisir-montgolfiere.fr,"<p>Ballon Plaisir est situé à Neuillé-le-Lierre dans
l'Indre-et-Loire (37), près d’Amboise et Tours, en région Centre et
vous accueille pour un vol convivial et personnalisé dans l’air en
montgolfière. Avec Ballon Plaisir vous ne vivrez pas seulement un
vol en montgolfière, mais 3 heures de partage et de bonheur.</p>",3,"Français
Anglais
Espagnol",,1,Montgolfière,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/ballon-plaisir-neuille-le-lierre
"L'Alezane - enseignement équitation de loisirs et fédérale",47.339333,0.512,L'ALEZANE,"Bel - Ebat","37510 VILLANDRY",,"06 82 59 92 21",catherine@alezane-villandry.fr,http://alezane-villandry.fr,"<p>Enseignement de l'équitation de loisirs et de l'équitation
fédérale. Formation examens fédéraux et de tourisme équestre.
Compétition en TREC, formation au TREC. Pension pour
chevaux.Organisation de randonnées et de balade. Balade à l'heure
ou à la journée pour groupe. Randonnée de 4 ou 5 jours en août.</p>",1,Anglais,,3,"Activités pour les enfants(6 ans)
Activités pour les familles
Equitation Randonnée équestre / âne",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/l-alezane-enseignement-equitation-de-loisirs-et-federale-villandry
"Vert-Event - Hôtel Val de Loire",47.262726,0.466288,"VERT EVENT","50 rue Nationale","37190 AZAY-LE-RIDEAU",,"02 72 72 54 44",contact@location-velo.fr,http://www.location-velo.fr,"<p>Location de vélos électriques, de vélos classiques, grands
voyageurs, VTT. Transfert de bagages, mise à disposition sur site
ou chez votre hébergeur.</p>",0,,,1,"Cyclotourisme VTT",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/vert-event-hotel-val-de-loire-azay-le-rideau
"Golf de la Gloriette",47.369459,0.670448,"GOLF DE LA GLORIETTE","50 route de Savonnières","37200 TOURS",,"02 47 67 00 32",golfdelagloriette@gmail.com,http://www.golfdelagloriette.com,,2,"Français
Anglais",,1,Golf,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/golf-de-la-gloriette-tours
"Tours sur Loire",47.383274,0.689797,"VILLE DE TOURS","Au pied du Pont Wilson (bords de Loire)","37000 TOURS",,"02 47 77 04 88",,http://www.tours.fr/,"<p>Lieu de rendez-vous convivial incontournable pour passer
d'agréables moments festifs aussi bien en famille qu'entre amis,
Tours sur Loire propose un large éventail d'activités diverses et
variées : bar, restaurant, concerts, sport, animations et jeux pour
enfants, cinéma en plein air, guinguette… Après avoir siroté un
verre en écoutant un morceau musical sympathique, couples et
groupes peuvent aller danser ensemble à la guinguette ! Tours sur
Loire n'en finit pas d'évoluer, avec l’ouverture d’un nouvel espace
en contrebas du Pont Wilson dédié à la découverte de pratiques
artistiques et à la rencontre d’artistes, auteurs et plasticiens,
et avec une attention particulière portée cette année à l’espace
enfants.</p>",0,,,1,Guinguette,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/tours-sur-loire-tours
"Kizou Aventures",47.428281,0.710002,"KIZOU AVENTURES","15 rue Arthur Rimbaud","37100 TOURS",,"02 47 51 60 80",tours@kizouaventures.fr,http://www.kizouaventures.fr,"<p>Parc couvert d’attractions ludiques, récréatives et d’éveil avec
centre de jeux sur le thème des voyages de Kizou à travers le
temps, destiné aux familles. Prestation de garderie possible pour
les enfants de + 4 ans.</p>",1,Français,,2,"Jeux pour enfants
Parc à thèmes",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/kizou-aventures-tours
"Les Écuries d'Anadé",47.380288,0.847015,"LES ECURIES D'ANADE","rue du Clos du Houx","37270 MONTLOUIS-SUR-LOIRE",,"02 47 50 81 01",anade@laposte.net,http://www.anade.ffe.com,"<p>Poney club, club hippique, écuries de propriétaires, 2 manèges,
21 x 42 &amp; 35 x 70 m. Carrières, promenades. Ouvert toute
l’année. Stages, classes vertes. Gîte 2 épis (32 lits) et chambres
d'hôtes 3 épis (4 chambres)</p>",1,Français,,3,"Activités pour les enfants(3 ans)
Activités pour les familles
Equitation Randonnée équestre",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/les-ecuries-d-anade-montlouis-sur-loire
"Cave Monplaisir",47.168947,0.220135,cave,"quai pasteur","37500 CHINON",,"02 47 93 20 75",cavemonplaisir@orange.fr,http://cavemonplaisir.fr,"<p>La cave de Monplaisir est une ancienne carrière souterraine de
plus de 2500m2 d’où furent extraits les quartiers de tuffeau ayant
permis d’édifier les nombreux châteaux, logis et manoirs qui
parsèment la région. Selon une tradition viticole séculaire en
Touraine, elle a été aménagée en cave de stockage de
vieillissement. Vous circulerez dans ses impressionnantes galeries
qui regorgent de trésors : plus de 700 barriques et des dizaines de
milliers de bouteilles des plus grands vins de Chinon ! Les
meilleurs terroirs de l’appellation s’élèvent ici : Chinon, Savigny
en Véron, Beaumont en Véron, Ligré…</p>",0,,,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/cave-monplaisir-chinon
"Canoe-kayak club de tours",47.374589,0.727157,"CANOE KAYAK CLUB DE TOURS","5 Avenue de Florence","37000 TOURS",,"02 47 44 92 66",ckct.tours@gmail.com,http://www.ckctours.org,"<p>Toutes formes de pratique du canoë et du kayak, loisirs,
compétition.</p>",3,"Français
Anglais
Espagnol",,3,"Activités pour les enfants(8 ans)
Activités pour les familles
Canoé kayak",1,"Animations thématiques spécifiques",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/canoe-kayak-club-de-tours-tours
"Art Montgolfières",47.167296,0.240385,"ART MONTGOLFIERES","37500 CHINON",,,"02 54 32 08 11",charles@art-montgolfieres.fr,http://www.art-montgolfieres.fr,"<p>Vol en montgolfière à la découverte des Châteaux du Val de
Loire. Prestation de 3h : mise en place de la montgolfière, vol
excursion 1h, toast des aérosties, remise des diplômes, retour en
4X4 au site de décollage. Départ de Chenonceaux, Amboise, Chaumont,
Loches.</p>",3,"Français
Anglais
Espagnol",,1,Montgolfière,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/art-montgolfieres-chinon
"Association Loire plus",47.412068,0.799248,"ASSOCIATION LOIRE PLUS","1 gare de Vouvray la frilliére","rd 952","37210 VOUVRAY","02 47 34 84 47",loireplus@voila.fr,http://www.loireplus.com,"<p>En famille, entre amis, partez à la découverte de la Loire !
Connaissance, apprentissage et pratique du canoë-kayak sur la Loire
à travers une approche éco-citoyenne et la découverte de la faune
et la flore ligériennes. Formule ""découverte"" (1h30),
""demi-journée"", ""journée"" avec pique-nique, ""bivouac"" en 2 jours ou
ballade ""coucher de soleil"" en soirée accompagnée d'un guide.
Possibilité de parcours de plus de 2 jours - sur devis. Il est
important que toutes les personnes sachent nager et mettent les
gilets de sauvetages fournis. Loire Plus est une équipe de 3
diplômés d'Etat à votre service.</p>",4,"Français
Anglais
Espagnol
Portugais",,1,"Canoé kayak",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/association-loire-plus-vouvray
"Location de vélos",46.920234,0.805915,"OFFICE DE TOURISME DE LA TOURAINE DU SUD","Place Savoie Villars","37350 LE GRAND PRESSIGNY",,"02 47 94 96 82",tourisme-gp@tourainedusud.com,http://www.tourainedusud.com,,2,"Anglais
Allemand",,1,Cyclotourisme,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/location-de-velos-le-grand-pressigny
"Boutique du domaine de Candé",47.297015,0.665231,"BOUTIQUE DU DOMAINE DE CANDE","37260 MONTS",,,"02 47 34 03 70",domainecande@cg37.fr,http://www.domainecande.fr,"<p>Vente de produits du terroir et du savoir-faire de Touraine.
Ateliers de dégustations. Marchés gourmands pendant la saison.</p>",2,"Anglais
Espagnol",oui,2,"Activités pour les enfants(3)
Activités pour les familles",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/boutique-du-domaine-de-cande-monts
"La Chevallerie",47.28063,0.133004,"GAËTAN BRUNEAU - LA CHEVALLERIE","La Chevallerie","37140 SAINT-NICOLAS-DE-BOURGUEIL",,"02 47 97 93 58",gaetan.bruneau@gmail.com,http://www.gaetanbruneau.com,"<p>De père en fils depuis 5 générations, nous perpétuons le
savoir-faire familial au vignoble comme à la cave pour vous offrir
le meilleur de notre terroir. Nous produisons des vins ronds et
élégants aux arômes intenses de fruits rouges. Rendez nous visite
au domaine pour une dégustation conviviale de nos différentes
cuvées.</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/la-chevallerie-saint-nicolas-de-bourgueil
"Pierre Sourdais",47.161024,0.345649,"Pierre Sourdais","12 le Moulin à Tan","37500 CRAVANT-LES-COTEAUX",,"02 47 93 31 13",pierresourdais@wanadoo.fr,http://www.domaine-pierre-sourdais.com,"<p>Domaine de 27 hectares, le Moulin à Tan est situé entre le Bourg
de Cravant les Coteaux et le Vieux Bourg dont l’église
carolingienne vaut le détour. Au carrefour du respect de la
tradition et du progrès je vous parlerai de mon parcours et de ma
passion. Dans un espace convivial venez découvrir le travail de la
vigne et du vin et dégustez mes Chinons aux multiples expressions.
Des surprises attendent les passionnés.</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/pierre-sourdais-cravant-les-coteaux
"Chai Pierre et Bertrand Couly",47.177462,0.262771,"PIERRE ET BERTRAND COULY","Rond-Point des Closeaux","Route de Tours","37500 CHINON","02 47 93 64 19",contact@pb-couly.com,http://www.pb-couly.com,"<p>Situé dans le hameau viticole et pittoresque de Saint Louans,
nous vous accueillons au coeur d'un parc paysager avec une belle
roseraie pour déguster nos vins. Pour les amateurs de marche, un
circuit passe à proximité du domaine avec possiblité de
pique-niquer sous la pergola (cuisine à disposition). Nous vous
accueillons également dans notre nouveau chai à Chinon (rond point
des closeaux, sur la route de Tours) dans un bel espace d'accueil.
Les 2 sites sont reconnus ""caves d'excellence"".</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/chai-pierre-et-bertrand-couly-chinon
"Poney club de la Bigonnière",47.482448,1.045832,"PONEY CLUB DE LA BIGONNIERE","2 La Bigonnière","Rue de Cottereau","37530 CANGEY","02 47 30 02 55",katialegendre@orange.fr,http://poneyclubdelabigonniere.vpweb.fr,"<p>Équitation toutes disciplines, cours d'équitation. Initiations,
baptême + cours à partir de 18 mois, promenade d'une demi-heure à
plusieurs heures à la demande du client, rando sur une journée ou
plusieurs jours avec bivouac, stage perfectionnement, stage
intensif et concours toute l'année.</p>",2,"Anglais
Espagnol",,3,"Activités pour les enfants(18 mois)
Activités pour les familles
Equitation Randonnée équestre Attelage Randonnée équestre /
âne",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/poney-club-de-la-bigonniere-cangey
"La ferme O'poney",47.336675,0.393769,"CENTRE EQUESTRE DE LANGEAIS - LA FERME",O'PONEY,"Les Hautes Coutures","37130 LANGEAIS","02 47 96 57 57",contact@ferme-o-poney.com,http://www.ferme-o-poney.com,"<p>Centre équestre, poney club, balades enfants et adultes,
randonnées. Leçons dès 4 ans, manège, baptême poney d'une
demi-heure pour tout petit.</p>",2,"Français
Anglais",,3,"Activités pour les enfants(18 mois)
Activités pour les familles
Equitation Randonnée équestre",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/la-ferme-o-poney-langeais
"Formule Kart",47.199421,0.653998,"FORMULE KART",D21,"La Laurière","37260 VILLEPERDUE","02 47 26 07 00",info@formulekart.com,http://www.formulekart.com,"<p>Location de karting, initiation, organisation de séminaires.</p>",2,"Français
Anglais",,4,"Activités pour les enfants(7 ans (1
30 m))
Activités pour les familles
Karting",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/formule-kart-villeperdue
"Naviloire - Bateau Saint-Martin-de-Tours",47.408668,0.757415,"E.U.R.L. LIGERIENNE DE NAVIGATION -",NAVILOIRE,"56 quai de la Loire","37210 ROCHECORBON","02 47 52 68 88",contact@naviloire.com,http://www.naviloire.com,"<p>Toute l'année, promenade découverte de la Loire à bord du St
Martin de Tours. Bateau de 66 places agréablement aménagé et
protégé. Un commentaire en direct riche et vivant sur les trésors
du fleuve royal. Visite en famille: Larguons les amarres à bord du
Saint-Martin-de-Tours ! La navigation est le meilleur moyen
d'observer et de comprendre l'intérêt du dialogue entre l'homme et
la nature. Un chantier de castor, un cep de vigne, un cocon de
soie... Touchez du doigt les merveilles naturelles, et n'oubliez
pas de tout noter dans votre carnet de bord !</p>",1,Anglais,,1,"Bateaux promenade",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/naviloire-bateau-saint-martin-de-tours-rochecorbon
"Le Ranch des Centaurées",47.07431,1.085403,"LE RANCH DES CENTAUREES","21 Les Justices","37600 SAINT-JEAN-SAINT-GERMAIN",,,le.ranch.des.centaurees@orange.fr,http://www.leranchdescentaurees.jimdo.com,"<p>Centre de tourisme équestre et écurie de propriétaires.</p>",1,Français,,3,"Activités pour les enfants(3 ans)
Activités pour les familles
Equitation",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/le-ranch-des-centaurees-saint-jean-saint-germain
"Atelier Galerie Martine Scouarnec - Sculpteur Céramiste -
Peintre",47.440926,0.986425,"ATELIER GALERIE JEAN LOUIS SCOUARNEC",CERAMISTE,"22 route d'Amboise","37530 POCE-SUR-CISSE","02 47 30 56 92",scouarnec.ceram@orange.fr,,"<p>Animaux en grès émaillé, épis de faitage (oiseaux, chats...).
Sculptures de personnages et figures féminines. Peintures en petits
formats sur les mêmes thèmes.</p>",3,"Français
Anglais
Espagnol",,2,"Activités pour les enfants(12)
Céramique Peintures arts graph. Sculpture Poterie",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/atelier-galerie-martine-scouarnec-sculpteur-ceramiste-peintre-poce-sur-cisse
"Lac d'Hommes",47.445881,0.278842,"LAC D'HOMMES","37340 HOMMES",,,"02 47 24 00 35",ndupuy@cg37.fr,,"<p>Ce furent d’anciennes carrières de faluns, c’est aujourd’hui un
bel espace de détente, joliment arboré, où vous pourrez vous
laisser tenter par une baignade !</p>",1,Français,,3,"Plage surveillée
Plan d'eau
rivière",1,"Espace jeux",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/lac-d-hommes-hommes
"Touraine Planeur",47.153852,0.711881,"TOURAINE PLANEUR","Aérodrome de Tours-Le Louroux","La Raudière","37240 LE LOUROUX","02 47 65 42 44",contact@touraine-planeur.org,http://www.touraine-planeur.org,"<p>Découverte, école et pratique sportive du vol en planeur.</p>",2,"Français
Anglais",,2,"Activités pour les familles
Planeur",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/touraine-planeur-le-louroux
"Les écuries de la Valinière",47.17654,1.083619,"LES ECURIES DE LA VALINIERE","La Valinière","37460 GENILLE",,"09 83 63 21 78",valiniere@gmail.com,,,1,Anglais,,2,"Activités pour les enfants(6 ans)
Equitation",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/les-ecuries-de-la-valiniere-genille
"Point de dépôt Détours de Loire",47.165647,0.244955,"DETOURS DE LOIRE","Hôtel Le Plantagenêt","12 place Jeanne d'Arc","37500 CHINON","02 47 61 22 23",detoursdeloire@orange.fr,http://www.detoursdeloire.fr,"<p>Location de vélos. Location mise en dépôt par AMSTER (Tours)</p>",2,"Anglais
Espagnol",,1,Cyclotourisme,1,"Transfert de bagages",http://www.touraineloirevalley.com/dormir-manger-sortir/activites/point-de-depot-detours-de-loire-chinon
"La Cave Insolite",47.391188,0.844354,"LA CAVE INSOLITE","30 quai Albert Baillet","37270 MONTLOUIS-SUR-LOIRE",,"02 47 45 19 14",lacaveinsolite@wanadoo.fr,http://www.francois-chidaine.com/,,2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/la-cave-insolite-montlouis-sur-loire
"Parc de loisirs de l'Escotais",47.569969,0.530563,"PARC DE LOISIRS DE L'ESCOTAIS","Le Moulin Perron","37360 NEUILLE-PONT-PIERRE",,"02 47 40 90 40",parcdeloisirsdelescotais@wanadoo.fr,http://www.parcdeloisirsdelescotais.fr,"<p>Dans un cadre de verdure fleurie, vous trouverez sur le même
site diverses activités telles que le karting, quad, moto super
motard, buggy, kart-cross, paint-ball, structures gonflables,
baptêmes (hélicoptère, Ferrari, montgolfière), billard, baby foot,
ping-pong, aire de jeux pour enfant surplombé par la terrasse du
bar et du restaurant.</p>",2,"Français
Anglais",,3,"Parc à thèmes
Jeux pour enfants
Circuit automobile ou moto",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/parc-de-loisirs-de-l-escotais-neuille-pont-pierre
"Point de dépôt Détours de Loire",47.412068,0.799248,"DETOURS DE LOIRE","Restaurant Le Grand Vatel","8 avenue Léon Brulé","37210 VOUVRAY","02 47 61 22 23",detoursdeloire@orange.fr,http://www.detoursdeloire.com,"<p>Notre volonté est de permettre aux personnes souhaitant
découvrir la région du Val de Loire à vélo, de circuler à son
rythme sur des routes peu fréquentées en utilisant les différents
points relais répartis le long de la Loire. Ce réseau permet de
découvrir un maximum de sites sans la contrainte du retour de vélo.
Dans chaque point du réseau le long de la Vallée de la Loire, à
proximité d'une gare SNCF, vous trouverez du matériel de qualité et
des tarifs identiques.</p>",2,"Anglais
Espagnol",,1,Cyclotourisme,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/point-de-depot-detours-de-loire-vouvray
"Au bout du Monde",47.363269,0.523843,"SARL AU BOUT DU MONDE","Le Bourg","37510 BERTHENAY",,"02 47 43 51 50",contact@restaurantleboutdumonde.com,http://www.restaurantleboutdumonde.com,"<p>Epicerie fine au 1er étage du restaurant : vente de vins de la
Loire et hors région, terrines de la ferme du Vau, spiritueux,
chocolats Cluizel, bières artisanales locales, sardines et caviar
d'oursin, salaisons basques, sirops et crèmes de fruits.</p>",0,,,1,"Activités pour les enfants",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/au-bout-du-monde-berthenay
"Blanc foussy",47.40929,0.763454,"SA BLANC FOUSSY","65 Quai de la Loire","37210 ROCHECORBON",,"02 47 40 40 20",nmazubert@lacheteau.fr,http://www.blancfoussy.com/,"<p>Notre cave située en bord de Loire, entre Tours et Vouvray,
présente les activités qui se sont développées en Touraine au fil
des siècles : carrière de tuffeau, champignonnière, fabrication des
fines bulles de Loire selon la méthode traditionnelle. Notre salle
de dégustation avec vue sur la Loire propose également une boutique
d'articles de cave et de verrerie.</p>",2,"Anglais
Allemand",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/blanc-foussy-rochecorbon
"Domaine David et Nathalie Drussé",47.287344,0.157821,"DAVID ET NATHALIE DRUSSE","1 impasse de la Villatte","37140 SAINT-NICOLAS-DE-BOURGUEIL",,"02 47 97 98 24",drusse@wanadoo.fr,http://www.drusse-vindeloire.com,"<p>Vignerons Indépendants sur 19 hectares de Cabernet Franc, nous
produisons du Saint Nicolas de Bourgueil et du Bourgueil, rouge et
rosé, et du jus de raisin pasteurisé. Dans notre chai, vous
découvrirez nos vins souples et de caractère, ainsi que plusieurs
cuvées médaillées. Sur rendez-vous, nous pouvons également vous
faire visiter notre cave troglodytique typique de la Touraine et du
Val de Loire, située à 20 mètres sous le vignoble, après un
cheminement à pied ou en voiture de 350 mètres sous terre. Nous
accueillons les groupes jusqu'à 100 personnes, ainsi que les
camping-cars.</p>",2,"Français
Anglais",oui,1,"Produit à la ferme",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-david-et-nathalie-drusse-saint-nicolas-de-bourgueil
"Tours à Table",47.392371,0.692798,"TOURS A TABLE","45 rue Bernard Palissy","37000 TOURS",,"02 47 66 70 82",contact@toursatable.fr,http://www.toursatable.fr,"<p>Tours à Table vous propose des cours de cuisine qui vous feront
apprécier encore et toujours plus les arts culinaires ! Nos cours
s'adressent à tous les publics : curieux, gourmands, débutants ou
passionnés. Notre atelier, situé en plein centre de Tours, offre un
large choix de thèmes : cuisine quotidienne ou raffinée, cuisine
traditionnelle, exotique ou créative, pâtisserie, œnologie,… chacun
trouvera la cuisine qui lui ressemble, dans une ambiance toujours
conviviale. Nos chefs auront à cœur de vous faire partager leurs
astuces et leur savoir faire. Ils vous initieront à la magie d’une
cuisine décomplexée, joyeuse, simple à refaire chez soi. Seul ou en
groupe, adultes et enfants, entre amis ou dans le cadre de votre
entreprise, venez goûter à nos cours de cuisine !</p>",0,,,1,Gastronomie,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/tours-a-table-tours
"Domaine Flamand Delétang",47.357425,0.911401,"Domaine Flamand Delétang","19 route d'Amboise","37270 SAINT-MARTIN-LE-BEAU",,"02 47 35 65 71",flamandolivier@aol.com,http://www.domaine-flamand-deletang.com,"<p>Notre domaine est situé entre la Loire et le Cher à Saint Martin
le Beau. Avec 8 hectares de vignes, notre domaine familial produit
de vins blanc, rouge et rosé. Venez découvrir les vins dans leur
cave troglodytique, un lieu de caractère prêt à vous accueillir
pour une dégustation conviviale.</p>",0,,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-flamand-deletang-saint-martin-le-beau
"Maison des vins et du tourisme du Véron",47.194045,0.185124,"MAISON DES VINS ET DU TOURISME DU VERON","14 rue du 8 mai 1945","37420 BEAUMONT-EN-VERON",,"02 47 58 86 17",mdv@cc-veron.fr,http://www.lamaisondesvinsduveron.com/,"<p>Initiation à la dégustation, présentation-vente des vins AOC
chinon, terroir du Véron. Organisation de repas en cave et de
visites du vignoble.</p>",2,"Anglais
Espagnol",oui,2,"Activités pour les enfants(7)
Activités pour les familles",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/maison-des-vins-et-du-tourisme-du-veron-beaumont-en-veron
"Domaine de Ris",46.830442,0.970005,"Domaine de Ris","37290 BOSSAY-SUR-CLAISE",,,"02 47 94 64 43",domaine-de-ris37@orange.fr,,"<p>Le Domaine de Ris, autrefois rattaché au château de Ris,
ancienne seigneurie de la Baronnie de Preuilly (1e de Touraine),
s'étend sur 25 hectares, dont 15 hectares sont actuellement plantés
en vigne. Les premières plantations du vignoble remontent à la fin
du 19e siècle. Il est aujourd'hui constitué des 7 cépages
principaux de l'appellation Touraine : Chenin, Chardonnay,
Sauvignon, Gamay, Cabernet Franc, Cabernet Sauvignon et Côt.
L'exposition en coteau sud-ouest, la structure des sols
argilo-calcaires et argilo-silicieux, ajoutés à des méthodes
rigoureuses de culture et de vinification traditionnelles,
contribuent à produire des Vins de Grande Qualité. En particulier,
les Chenin, Cabernet, Côt et Crémant de Loire sont unanimement
reconnus et appréciés.</p>",1,Anglais,oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-ris-bossay-sur-claise
"Domaine des Géleries",47.285338,0.177276,"JEAN-MARIE ROUZIER EARL","4 rue des Géleries","37140 BOURGUEIL",,"02 47 97 74 83",jean-marie.rouzier@wanadoo.fr,http://www.domainedesgeleries.com,"<p>Le Domaine des Géléries est situé au cœur de l'appellation
Bourgueil à côté de l'Abbaye ou les moines ont implanté les
premières vignes vers l'an mille. Gérard (le père) et Jean-Marie
(le fils) ROUZIER exploitent le Domaine familial de 17 hectares.
Nous vous expliquerons notre métier, vous dégusterez nos vins
conçus avec passion...La porte de notre cave vous est grande
ouverte!</p>",2,"Français
Anglais",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-des-geleries-bourgueil
"Vol en Montgolfière",47.331681,1.067526,"ART MONTGOLFIERES","37150 CHENONCEAUX",,,"02 54 32 08 11",charles@art-montgolfieres.fr,http://www.art-montgolfieres.fr,"<p>Vol en montgolfière à la découverte des Châteaux du Val de
Loire. Prestation de 3h : mise en place de la montgolfière, vol
excursion 1h, toast des aérosties, remise des diplômes, retour en
4X4 au site de décollage. Départ de Chenonceaux, Amboise, Chaumont,
Loches.</p>",2,"Anglais
Espagnol",,1,Montgolfière,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/vol-en-montgolfiere-chenonceaux
"Cook & Go",47.394884,0.684106,"COOK & GO","30 rue du Commerce","37000 TOURS",,"09 81 39 21 31",tours@cook-and-go.com,http://www.cook-and-go.com,"<p>Cook and Go est un concept original d'ateliers de cuisine. Vous
choisissez votre atelier et venez cuisiner seul ou à plusieurs.
Vous apprenez des recettes originales ou du terroir avec un chef
cuisinier. Vous emportez vos plats pour les partager avec vos
invités. Les groupes, vous dégustez sur place</p>",1,Anglais,,3,"Activités pour les enfants(6 ANS)
Activités pour les familles
Gastronomie",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/cook-go-tours
"Domaine des Vienais",47.293676,0.216032,"EARL DOMAINE DES VIENAIS","3 rue des Lavandières","37140 BENAIS",,"02 47 97 35 19",domaine.desvienais@wanadoo.fr,http://www.domaine-des-vienais.com,"<p>Ce domaine de 22 ha en AOC Bourgueil est situé dans le charmant
village de Benais. Venez découvrir leur passion qui s'exprime dans
leurs deux cuvées, la cuvée Prestige et la cuvée Vieilles
Vignes.</p>",2,"Français
Espagnol",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-des-vienais-benais
"Le Vazereau",47.137888,0.202247,"LE VAZEREAU","Le Vazereau","37500 LA ROCHE-CLERMAULT",,"02 47 93 18 89",fromagerie@levazereau.fr,http://www.levazereau.fr,"<p>Elevage de chèvres et transformation fromagère. Visite de la
chèvrerie, avec support vidéo pour la fromagerie. Dégustation de
fromage accompagnée de vin de chinon (8 pers. minimum sur
rendez-vous).</p>",0,,oui,1,"Ferme découverte",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/le-vazereau-la-roche-clermault
"Spa Nature et santé du Relais du Plessis",47.019197,0.335182,"RELAIS DU PLESSIS SPA RESORT","Route de Thuet - Coupure du Parc","37120 CHAVEIGNES",,"02 47 58 75 50",info@relaisduplessis.com,http://www.relaisduplessis.fr,,5,"Français
Anglais
Allemand
Espagnol
Italien",,3,"Balnéothérapie
Centre de soins / Bien être
Salle de remise en forme",0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/spa-nature-et-sante-du-relais-du-plessis-chaveignes
"Domaine de la Noiraie",47.291901,0.22246,"DELANOUE FRERES","19 rue du fort hudeau","37140 BENAIS",,"02 47 97 30 40",delanoue-freres@orange.fr,http://www.domaine-de-la-noiraie.com,"<p>Ce domaine de 28 hectares situé sur la commune de Benais dans
l'aire d'Appellation Bourgueil, est conduit depuis 1981 par Michel,
Pascale et Jean-Paul Delanoue. Venez découvrir ce domaine au coeur
du vignoble.</p>",3,"Français
Anglais
Espagnol",oui,0,,0,,http://www.touraineloirevalley.com/dormir-manger-sortir/activites/domaine-de-la-noiraie-benais
